reported_year,category,counted_case,cleared_case
2014,Controlled Drugs and Substances Act,4707,4507
2014,Crimes Against Property,68734,24075
2014,Crimes Against the Person,25401,16509
2014,Criminal Code Traffic,1939,1892
2014,Other Criminal Code Violations,12307,11463
2014,Other Federal Statute Violations,410,399
2015,Controlled Drugs and Substances Act,4755,4502
2015,Crimes Against Property,69612,22058
2015,Crimes Against the Person,26948,16771
2015,Criminal Code Traffic,1916,1881
2015,Other Criminal Code Violations,13902,12862
2015,Other Federal Statute Violations,386,358
2016,Controlled Drugs and Substances Act,4269,4032
2016,Crimes Against Property,73855,22580
2016,Crimes Against the Person,27365,16622
2016,Criminal Code Traffic,1977,1910
2016,Other Criminal Code Violations,14935,13726
2016,Other Federal Statute Violations,351,304
2017,Controlled Drugs and Substances Act,3687,3492
2017,Crimes Against Property,80099,22685
2017,Crimes Against the Person,28222,17290
2017,Criminal Code Traffic,1880,1812
2017,Other Criminal Code Violations,15918,14523
2017,Other Federal Statute Violations,258,214
2018,Controlled Drugs and Substances Act,2953,2763
2018,Crimes Against Property,93005,23593
2018,Crimes Against the Person,28924,16317
2018,Criminal Code Traffic,1681,1612
2018,Other Criminal Code Violations,16511,14691
2018,Other Federal Statute Violations,248,207
2019,Controlled Drugs and Substances Act,1706,1582
2019,Crimes Against Property,94990,22254
2019,Crimes Against the Person,29078,17174
2019,Criminal Code Traffic,1797,1704
2019,Other Criminal Code Violations,16824,14652
2019,Other Federal Statute Violations,228,190
2020,Controlled Drugs and Substances Act,1420,1290
2020,Crimes Against Property,77591,13492
2020,Crimes Against the Person,24527,14248
2020,Criminal Code Traffic,1777,1587
2020,Other Criminal Code Violations,13101,10588
2020,Other Federal Statute Violations,179,122
